SDSSJ003633.69+005020.7   0.02618 0.02676 0.02835 0.00521 -0.00248  0.00259 0
SDSSJ003922.77-004409.9   0.01161 0.01994 0.05201 0.00982 -0.00536  0.00902 0
SDSSJ003135.57+003421.2   0.03341 0.01600 0.02027 0.04487 -0.00999 -0.00529 1
SDSSJ003416.61+002241.1   0.02508 0.02845 0.01787 0.03519  0.00421  0.00093 0
SDSSJ003521.61+001940.9   0.01826 0.03934 0.00936 0.04360 -0.00597  0.00512 1
SDSSJ003637.19+010314.4   0.02910 0.01610 0.02588 0.04010 -0.02366 -0.00195 0
SDSSJ003551.98+005726.4   0.01832 0.03621 0.01708 0.03257 -0.00037 -0.00540 1
SDSSJ005135.28-010709.1   0.03804 0.02667 0.00708 0.02626 -0.00171  0.00218 1
SDSSJ004856.34+005648.1   0.01810 0.03851 0.01780 0.02223 -0.00963 -0.00662 0
SDSSJ005009.11+005255.2   0.03433 0.02922 0.00491 0.03550  0.00042  0.00616 1
SDSSJ020356.90+011202.4   0.03332 0.02866 0.00707 0.03657 -0.00465 -0.00213 0
SDSSJ022943.90-003458.0   0.06270 0.00568 0.00594 0.01996 -0.00680  0.00458 1
SDSSJ022823.25-002628.2   0.02508 0.02408 0.02401 0.03304  0.00738  0.00583 0
SDSSJ022716.72-001317.1   0.02045 0.04279 0.00814 0.02763  0.00429  0.00257 0
SDSSJ022723.99-010623.4   0.01454 0.03765 0.03005 0.00000 -0.00607 -0.00466 0
SDSSJ022800.64+002711.6   0.01436 0.02766 0.03105 0.04153  0.00889  0.00103 0
SDSSJ023259.60+004801.7   0.02044 0.03603 0.01795 0.02184 -0.00648 -0.00333 0
SDSSJ023252.80-001351.1   0.03135 0.02310 0.02202 0.01918  0.00186 -0.00440 1
SDSSJ022954.42-005622.5   0.01726 0.03800 0.01673 0.02953 -0.00820 -0.00481 0
SDSSJ022349.24+004727.8   0.04855 0.01716 0.00653 0.02528  0.00409  0.00930 1
SDSSJ022729.10+001448.1   0.05634 0.01212 0.00512 0.01925  0.00791  0.01171 0
SDSSJ014036.47+000335.8   0.02748 0.02515 0.02607 0.01163  0.00865  0.03434 1
SDSSJ023819.91+004253.4   0.00313 0.00846 0.07831 0.00723  0.01530  0.01300 0
SDSSJ024056.49+002912.4   0.03123 0.03228 0.00877 0.02657  0.01312  0.00199 0
SDSSJ024006.11-002037.6   0.03107 0.02217 0.01861 0.03340 -0.01008 -0.00863 0
SDSSJ072700.58+393505.1   0.01114 0.02532 0.04224 0.02416 -0.00725 -0.00334 1
SDSSJ072026.80+401351.7   0.02794 0.00293 0.05204 0.01946  0.00593  0.00010 0
SDSSJ072043.00+404955.1   0.01095 0.04766 0.01194 0.03154 -0.00543 -0.00270 0
SDSSJ072054.57+400839.3   0.04944 0.01392 0.00820 0.03020  0.00809  0.00396 0
SDSSJ072347.00+400317.8   0.03910 0.01275 0.02041 0.03549 -0.01007 -0.00257 0
SDSSJ072638.68+401425.6   0.03299 0.02294 0.01529 0.03277 -0.01506 -0.00269 0
SDSSJ072623.80+395539.9   0.01731 0.03012 0.03130 0.01521 -0.00388  0.01092 0
SDSSJ072824.80+413558.4   0.02956 0.03168 0.01055 0.02745  0.00026  0.00314 0
SDSSJ072716.91+412817.3   0.03794 0.00814 0.03221 0.02266  0.00065 -0.00282 0
SDSSJ072454.36+414454.6   0.04203 0.00967 0.02263 0.02921 -0.00331 -0.00041 0
SDSSJ072247.71+412936.4   0.02443 0.02785 0.02384 0.02131  0.00165 -0.00497 0
SDSSJ072134.30+413108.8   0.02819 0.03360 0.00841 0.03216 -0.00225 -0.00098 1
SDSSJ072306.74+420457.9   0.00613 0.04703 0.01880 0.03098 -0.00073  0.00194 0
SDSSJ072334.35+421227.7   0.03876 0.01682 0.02083 0.02030 -0.00634  0.00017 0
SDSSJ072734.25+425426.1   0.01700 0.04082 0.01335 0.02972  0.00431 -0.00023 0
SDSSJ072736.63+385155.3   0.03401 0.02291 0.01276 0.03866 -0.01106  0.00368 1
SDSSJ073153.65+402902.4   0.04586 0.01845 0.00692 0.02927 -0.00356  0.00827 0
SDSSJ072722.19+423902.2   0.02779 0.02307 0.02120 0.03662 -0.00291 -0.00821 0
SDSSJ073300.61+431235.1   0.02636 0.03031 0.01667 0.02584 -0.01335  0.00445 0
SDSSJ073343.42+434354.9   0.03832 0.02658 0.00525 0.03060 -0.00864 -0.00228 0
SDSSJ073715.74+433833.8   0.02373 0.03540 0.01129 0.03021  0.00394  0.00242 1
SDSSJ073937.27+432822.9   0.03707 0.01628 0.02289 0.02268  0.00379 -0.00554 0
SDSSJ073123.75+441846.8   0.01348 0.04853 0.00281 0.04637  0.00295  0.00139 0
SDSSJ072922.96+445855.8   0.02519 0.03016 0.01671 0.02870 -0.00768  0.00260 1
SDSSJ073902.35+370439.1   0.03883 0.01472 0.02120 0.02671 -0.00265 -0.00037 0
SDSSJ073410.39+371459.2   0.03333 0.03052 0.00000 0.05019 -0.00601  0.00368 0
SDSSJ073246.46+373120.8   0.05481 0.00872 0.00932 0.02548 -0.00464  0.00051 1
SDSSJ074134.47+381559.2   0.04657 0.01839 0.00817 0.02339 -0.00485  0.00180 0
SDSSJ074023.23+355253.7   0.02703 0.02305 0.01919 0.04471 -0.02518 -0.00539 0
SDSSJ073631.02+362505.0   0.03643 0.02794 0.01236 0.01079  0.00905  0.00450 0
SDSSJ073453.37+354035.8   0.04104 0.02035 0.01453 0.01538 -0.00016  0.00223 0
SDSSJ073301.86+361319.0   0.06613 0.00000 0.00606 0.02623 -0.00632  0.00280 1
SDSSJ073501.48+373156.0   0.03645 0.01462 0.02632 0.01994  0.00364 -0.00096 0
SDSSJ074134.87+364408.9   0.02940 0.02207 0.02545 0.01973 -0.00199 -0.00236 0
SDSSJ073306.63+462517.5   0.02810 0.03622 0.01199 0.01066  0.00697  0.01357 1
SDSSJ073751.52+455140.5   0.04255 0.02567 0.00000 0.03692 -0.01817 -0.00560 1
SDSSJ074237.38+394435.6   0.01391 0.02931 0.03521 0.01875  0.00894  0.00209 0
SDSSJ074234.23+391003.7   0.01627 0.03582 0.02051 0.03058 -0.01261 -0.00352 1
SDSSJ073733.01+392037.4   0.02232 0.04123 0.00659 0.03041 -0.00786 -0.00068 0
SDSSJ073458.95+391524.3   0.00301 0.02498 0.03819 0.06833  0.01498  0.00087 0
